#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL	INST_RETIRED	EXCEPTION_TAKEN
1496368218271815598	splash2x.barnes	1400	43	1.000000	1.562000	1.658000	1401917520	98328	49452	491222274	5146442	1025781510	226
1496368218782656648	splash2x.barnes	1400	43	1.000000	1.562000	1.658000	1401900052	103602	49481	491467885	5029203	1027661011	231
1496368219291890908	splash2x.barnes	1400	43	1.000000	1.561000	1.657000	1402168100	100147	59397	491715624	4632901	1027943661	228
1496368219801173335	splash2x.barnes	1400	43	1.000000	1.552000	1.648000	1402112875	99678	51380	484467469	4815677	1010742897	227
1496368220310421678	splash2x.barnes	1400	43	1.000000	1.550000	1.646000	1118825527	338342	130973	286225399	3113049	650251167	1480
1496368220819680646	splash2x.barnes	1400	43	1.000000	1.026000	1.087000	1402316772	95559	47322	492199748	4735896	1026883254	227
1496368221328804823	splash2x.barnes	1400	43	1.000000	1.556000	1.652000	1402083332	103615	48692	491055928	5092896	1024718322	226
1496368221838078500	splash2x.barnes	1400	43	1.000000	1.563000	1.659000	1402149236	101083	44987	491401032	5279258	1024029082	226
1496368222347308677	splash2x.barnes	1400	43	1.000000	1.563000	1.659000	1402143884	104676	47491	491442760	5131239	1025256603	231
1496368222856533020	splash2x.barnes	1400	43	1.000000	1.565000	1.662000	1402291528	103058	44787	491483785	5080874	1025132824	230
1496368223365613780	splash2x.barnes	1400	43	1.000000	1.562000	1.658000	1402167538	104295	44866	491433235	4869599	1027038335	229
1496368223875035957	splash2x.barnes	1400	43	1.000000	1.563000	1.659000	1402147010	102430	43794	491230812	4792220	1028079139	228
1496368224384340675	splash2x.barnes	1400	43	1.000000	1.565000	1.662000	1402144192	103701	44801	491577888	4616188	1027321100	229
1496368224893402935	splash2x.barnes	1400	43	1.000000	1.555000	1.651000	1402297900	101722	44384	491690984	4909473	1025542016	226
1496368225402629737	splash2x.barnes	1400	43	1.000000	1.552000	1.648000	963848498	479967	157456	300537779	3207959	629796057	1849
1496368225912527204	splash2x.fmm	1400	43	1.000000	1.038000	1.100000	596046912	6350192	1860224	135616780	2147125	268249971	30396
1496368226422710921	splash2x.fmm	1400	42	1.000000	0.822000	0.869000	773651795	8482524	2491927	170647411	2838261	333101890	40670
1496368226933457054	splash2x.fmm	1400	42	1.000000	0.832000	0.880000	771380423	8351716	2500515	173370291	2851263	345066663	40374
1496368227443412522	splash2x.fmm	1400	41	1.000000	0.816000	0.863000	794049156	7516636	2265918	169530383	2653002	347406285	36186
1496368227952990573	splash2x.fmm	1400	41	1.000000	0.831000	0.879000	703526222	437457	226332	97820392	638559	267854166	3044
1496368228463084374	splash2x.fmm	1400	41	1.000000	0.763000	0.807000	1129898248	5385872	4273113	235620883	5386785	381561952	59128
1496368228972916341	splash2x.fmm	1400	41	1.000000	1.208000	1.280000	705962017	1062439	679972	112404651	4963320	253826306	11642
1496368229482094726	splash2x.fmm	1400	41	1.000000	0.801000	0.847000	1368275865	234019	47156	255977027	7207584	1042320314	246
1496368229991747944	splash2x.fmm	1400	42	1.000000	1.144000	1.212000	1401896940	277198	46228	265268364	8076240	1171541514	227
1496368230501029537	splash2x.fmm	1400	42	1.000000	1.400000	1.485000	1401892852	298131	47655	273423510	7142247	1206751301	232
1496368231010269547	splash2x.fmm	1400	42	1.000000	1.420000	1.506000	1401899608	284246	45271	263558150	8308908	1164220623	224
1496368231519413641	splash2x.fmm	1400	42	1.000000	1.406000	1.491000	1395633470	384701	44036	341616398	808974	1520880409	237
1496368232028610609	splash2x.fmm	1400	42	1.000000	1.583000	1.681000	1393214146	215876	60126	232879181	7800114	855088732	438
1496368232537810286	splash2x.fmm	1400	42	1.000000	1.339000	1.420000	1401894340	282807	48194	262058664	8229172	1155711014	229
1496368233047072296	splash2x.fmm	1400	42	1.000000	1.408000	1.493000	1402197956	287064	46168	272306055	7273221	1202318011	229
1496368233556278848	splash2x.fmm	1400	42	1.000000	1.437000	1.524000	1401904292	292722	46016	269875942	7634430	1192876056	229
1496368234065396775	splash2x.fmm	1400	43	1.000000	1.412000	1.498000	1401901504	413403	43435	349258920	3067160	1563671048	227
1496368234574652451	splash2x.fmm	1400	43	1.000000	1.517000	1.611000	1390679064	168335	54781	228755874	5338520	831996251	357
1496368235083800462	splash2x.fmm	1400	43	1.000000	1.382000	1.466000	1401913508	273712	47345	256197495	8884965	1129276704	227
