#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1496402793277987866	splash2x.barnes	1400	40	1.000000	1.560000	1.656000	1402097146	452	3002697	84007098	490821323	342319842	23189079
1496402793787465709	splash2x.barnes	1400	40	1.000000	1.561000	1.657000	1402147634	456	2993423	84014816	490783667	341827769	23876623
1496402794296674052	splash2x.barnes	1400	40	1.000000	1.560000	1.656000	1402113792	454	2973407	84075458	491100600	341634803	23509527
1496402794805807104	splash2x.barnes	1400	40	1.000000	1.558000	1.654000	1402409032	468	3140686	84248070	491434428	343732199	20965821
1496402795315198448	splash2x.barnes	1400	40	1.000000	1.551000	1.647000	1401919758	454	3258205	84276412	491743314	345377091	19815030
1496402795824397333	splash2x.barnes	1400	40	1.000000	1.550000	1.646000	1401913028	456	3333733	84176063	491203933	345802019	19312732
1496402796333858509	splash2x.barnes	1400	39	1.000000	1.550000	1.646000	1103982074	2757	2313397	76559320	271255316	202015306	15683968
1496402796843163436	splash2x.barnes	1400	40	1.000000	1.368000	1.451000	1401912466	458	3164929	84312746	492425290	344542530	20625180
1496402797352425904	splash2x.barnes	1400	40	1.000000	1.551000	1.647000	1401932322	450	3018741	84080970	491578311	342473883	22594537
1496402797861798080	splash2x.barnes	1400	40	1.000000	1.555000	1.651000	1401910904	458	3041059	84162038	491823527	343162088	22380071
1496402798371051882	splash2x.barnes	1400	40	1.000000	1.559000	1.655000	1401901637	458	2984494	84184628	492148150	342518286	22662057
1496402798880218726	splash2x.barnes	1400	40	1.000000	1.557000	1.653000	1401904847	460	3014817	84081870	491430850	342382905	22852479
1496402799389416069	splash2x.barnes	1400	40	1.000000	1.557000	1.653000	1401908936	454	2981187	84194371	491707261	342067973	22662293
1496402799898678121	splash2x.barnes	1400	40	1.000000	1.559000	1.655000	1401900160	458	3019354	84198849	491652301	342065768	22044172
