#Timestamp	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211619136413021	928942749	0	2970214	1088389	1311821	282040013	1139048
1481211619637071639	929753197	0	2972318	1079301	1312521	282373033	1126955
1481211620137729800	928709587	0	2967342	1075402	1312932	282076963	1124933
1481211620638384089	930100418	0	2972975	1077220	1313734	282563976	1122213
1481211621139087171	930138738	0	2978165	1077978	1313248	282515839	1125228
1481211621639742132	928398922	0	2980057	1082330	1312689	281931716	1128427
1481211622140345928	929929222	0	2976325	1079365	1316878	282329753	1126338
1481211622640981018	929359214	0	2971513	1075785	1314684	282266445	1119377
1481211623141604277	928230477	0	2968220	1080405	1312521	281970319	1126964
1481211623642248747	928975225	0	2975844	1084188	1313897	282089522	1130800
1481211624142883677	930240320	0	2979189	1082058	1314730	282453127	1127941
1481211624643514693	927933971	0	2975463	1075080	1310238	281852325	1118406
1481211625144119627	925658306	0	2958834	1061065	1305038	281223339	1104318
1481211625644779232	930497677	0	2974579	1059608	1310433	282682848	1102302
1481211626145388837	928860589	0	2966889	1066067	1307097	281989854	1114512
1481211626646018029	929453876	0	2977342	1092686	1317726	282231732	1141734
1481211627146619597	929764904	0	2970798	1090381	1315724	282448173	1138795
1481211627647222877	928088000	0	2971562	1089635	1314270	281878474	1140920
1481211628147821825	928996143	0	2973364	1092434	1314370	282138768	1142170
1481211628648439442	927769203	0	2969998	1088068	1315449	281781666	1138552
1481211629149050935	634504725	0	2152016	868898	2236010	229617032	1211128
1481211629649726432	1001272929	0	3026573	1375393	4745337	409601773	2170548
1481211630150370180	1001366602	0	3030544	1377814	4754770	409346583	2163736
1481211630651043639	1001345309	0	3036184	1378829	4751636	409040759	2167132
1481211631151636307	999599907	0	3031994	1373442	4732043	408646617	2155002
1481211631652235729	1000861532	0	3042364	1378701	4756111	408620383	2164687
