#Timestamp	CPU_CYCLES	INST_RETIRED	EXCEPTION_TAKEN	EXCEPTION_RETURN	CID_WRITE_RETIRED	BRANCH_MISPRED	BRANCH_PRED
1481345146406338438	750950346	358927201	32267	32400	0	5983728	63463622
1481345146906985325	750971078	358822803	32259	32385	0	5975599	63429937
1481345147407630588	750966103	358772284	32255	32384	0	5973438	63442155
1481345147908262559	750943816	359049255	32279	32405	0	5980755	63466587
1481345148408919364	750977197	358823899	32281	32409	0	5972835	63434691
1481345148909556210	749950388	358486109	32220	32347	0	5969675	63381486
1481345149410267014	751067659	358884761	32256	32382	0	5980684	63463246
1481345149910901443	750950884	358973733	32275	32405	0	5977700	63457515
1481345150411551998	750973243	358951495	32293	32420	0	5978440	63438163
1481345150912189719	750954766	358962550	32244	32373	0	5968487	63477558
1481345151412834565	750968332	359126650	32290	32418	0	5981064	63489359
1481345151913482036	750968602	359095396	32297	32423	0	5976292	63484894
1481345152414118882	750955468	359261424	32303	32431	0	5978483	63511327
1481345152914837062	751078307	359288144	32313	32438	0	5985387	63508792
1481345153415547241	751058997	359076119	32288	32415	0	5976719	63480521
1481345153916195045	750969280	359133185	32305	32432	0	5966081	63495542
1481345154416930600	751106616	358834394	32231	32360	0	5982405	63474372
1481345154917657488	748962796	358139344	32205	32335	0	5966120	63307249
1481345155418387417	751092950	359199167	32314	32442	0	5984913	63494222
1481345155919128514	751107820	359124841	32291	32419	0	5978146	63488980
1481345156419851193	751075440	359229553	32305	32432	0	5978583	63502715
1481345156920607164	751140499	358858318	32234	32363	0	5980032	63465709
1481345157421335552	751091547	359394870	32344	32472	0	5964011	63527242
1481345157922077940	751107840	359137932	32303	32430	0	5982017	63501183
1481345158422818745	751117954	358847360	32254	32383	0	5981081	63438169
1481345158923536966	750446430	359084858	32279	32412	0	5965874	63482462
1481345159424273771	750477491	358963711	32264	32394	0	5972000	63486657
1481345159925013658	751117211	358909759	32291	32421	0	5980246	63450662
1481345160425720213	751058493	359146200	32303	32431	0	5978735	63480797
1481345160926423559	751048848	359196546	32302	32432	0	5978690	63499669
1481345161427119322	751045015	359039143	32302	32429	0	5973058	63447925
1481345161927826501	751061963	358868559	32244	32374	0	5964835	63460926
1481345162428563139	751097824	358960803	32286	32417	0	5978025	63468942
1481345162929248027	751031846	358933087	32243	32373	0	5981312	63470239
1481345163429902123	750928146	359129052	32298	32426	0	5977337	63489216
1481345163930515719	500179878	514455381	21949	22634	5	4786361	77513127
1481345164431097690	750870880	1109786259	8936	9049	0	8532546	159482357
1481345164931670828	750860248	1108540529	8937	9051	0	8550936	159356635
1481345165432245340	750861525	1108053761	8934	9045	0	8614705	159234320
1481345165932819811	750858348	1108287667	8887	9002	0	8642889	159240807
