#Timestamp	Benchmark	Run(#)	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	SW_INCR	L1I_CACHE_REFILL	L1I_TLB_REFILL	L1D_CACHE_REFILL	L1D_CACHE_ACCESS	L1D_TLB_REFILL
1481211496656762683	bzip2d	1	2000	51	1.300000	1.526000	2.023000	1001362464	0	1086167	502698	3433251	281418844	2848726
1481211497166249898	bzip2d	1	2000	51	1.300000	1.382000	1.832000	1001331490	0	1122346	484277	4004043	213115124	3427874
1481211497675616013	bzip2d	1	2000	51	1.300000	1.446000	1.917000	1001332941	0	1078981	496537	3471857	278929497	2838078
1481211498184673181	bzip2d	1	2000	51	1.300000	1.543000	2.046000	1001373634	0	1131812	501176	4061652	220886479	3505764
1481211498693978663	bzip2d	1	2000	51	1.300000	1.473000	1.953000	1001329644	0	1069301	485304	3432083	268250316	2833203
1481211499203155283	bzip2d	1	2000	51	1.300000	1.383000	1.832000	1001337691	0	1124990	486951	3907622	234283266	3351460
1481211499712304631	bzip2d	1	2000	50	1.300000	1.440000	1.909000	1001339304	0	1082047	485230	3578416	254823376	2978550
1481211500221490118	bzip2d	1	2000	50	1.300000	1.552000	2.057000	1001495111	0	1110991	494739	3764301	248018115	3213128
1481211500730753499	bzip2d	1	2000	51	1.300000	1.485000	1.969000	1001360490	0	1092899	486080	3713866	240957391	3110292
1481211501239934812	bzip2d	1	2000	50	1.300000	1.382000	1.832000	1001354445	0	1116869	506355	3623333	261845031	3078948
1481211501749154809	bzip2d	1	2000	50	1.300000	1.446000	1.917000	1001358491	0	1099199	486731	3866259	227030331	3253389
1481211502258322988	bzip2d	1	2000	50	1.300000	1.556000	2.063000	1001352529	0	1112154	501014	3472358	274566969	2936941
1481211502767680100	bzip2d	1	2000	50	1.300000	1.488000	1.973000	1001355020	0	1105293	485536	4008454	214410033	3392807
1481211503276892562	bzip2d	1	2000	50	1.300000	1.383000	1.833000	1001351849	0	1076897	485531	3418897	283811214	2789321
1481211503786185371	bzip2d	1	2000	50	1.300000	1.445000	1.916000	1001489431	0	1119871	488661	3957580	215596860	3426279
1481211504295583448	bzip2d	1	2000	50	1.300000	1.428000	1.893000	1001181275	0	1079800	494507	3531898	273937958	2903689
1481211504806544744	bzip2d	1	2000	50	1.300000	1.559000	2.067000	1001208080	0	1132564	521025	4020338	219493605	3468628
1481211505316111977	bzip2d	1	2000	50	1.300000	1.471000	1.950000	1001268099	0	1053092	491087	3414988	268992453	2822594
1481211505825736889	bzip2d	1	2000	50	1.300000	1.380000	1.829000	1001290916	0	1143120	499746	3927036	232228653	3373576
1481211506335090362	bzip2d	1	2000	50	1.300000	1.443000	1.913000	1001293765	0	1073562	479812	3548133	256554544	2951189
1481211506844306471	bzip2d	1	2000	50	1.300000	1.539000	2.040000	1001207965	0	1131048	497035	3790266	245157565	3245259
1481211507353694725	bzip2d	1	2000	50	1.300000	1.465000	1.942000	1001207916	0	1083543	484339	3693350	243808978	3093531
1481211507863039613	bzip2d	1	2000	50	1.300000	1.381000	1.831000	1001349684	0	1116421	499488	3645235	258626557	3100227
1481211508373157104	bzip2e	1	2000	49	1.300000	1.445000	1.916000	408483647	0	650998	336169	1869616	74947307	1460335
1481211508883243937	bzip2e	1	2000	50	1.300000	1.000000	1.323000	939828216	0	575384	297195	10715583	324386133	10208751
1481211509392512709	bzip2e	1	2000	50	1.300000	1.744000	2.314000	1001214980	0	632658	331760	9442242	387641064	8723008
1481211509901932071	bzip2e	1	2000	51	1.300000	1.716000	2.277000	1001215900	0	353912	180014	11207345	353206020	10029142
1481211510411660747	bzip2e	1	2000	51	1.300000	1.722000	2.285000	1001386620	0	653821	335139	10765346	365111069	10130140
1481211510920893470	bzip2e	1	2000	51	1.300000	1.720000	2.282000	1001348775	0	604133	312450	9694789	385956245	8598920
1481211511430046134	bzip2e	1	2000	51	1.300000	1.720000	2.282000	1001398840	0	383572	204609	11604244	341646693	10811409
1481211511939567593	bzip2e	1	2000	51	1.300000	1.743000	2.312000	1001606525	0	638045	331289	10279663	376437147	9642977
